title,year,rt_rating,boxoffice
Wonder Woman,2017,93%,"$412,400,625"
Rogue One: A Star Wars Story,2016,84%,"$532,171,696"
It,2017,85%,"$326,898,358"
Aquaman,2018,64%,N/A
A Quiet Place,2018,95%,N/A
Mission: Impossible - Fallout,2018,97%,N/A
Ant-Man and the Wasp,2018,88%,N/A
Black Panther,2018,97%,"$501,105,037"
Venom,2018,NaN,N/A
Tomb Raider,2018,51%,N/A
War for the Planet of the Apes,2017,93%,"$146,872,826"
Maze Runner: The Death Cure,2018,42%,"$57,074,211"
Justice League,2017,40%,"$227,032,490"
The Mummy,2017,15%,"$80,072,590"
Blade Runner 2049,2017,87%,"$91,800,042"
Star Wars: Episode VIII - The Last Jedi,2017,91%,"$619,117,636"
Spider-Man: Homecoming,2017,92%,"$334,166,825"
Transformers: The Last Knight,2017,15%,"$130,104,634"
Alien: Covenant,2017,66%,"$74,255,908"
Ghost in the Shell,2017,43%,"$40,533,014"
Kong: Skull Island,2017,75%,"$167,986,460"
Avengers: Infinity War,2018,84%,"$664,987,816"
Crazy Rich Asians,2018,91%,N/A
Incredibles 2,2018,94%,N/A
Thor: Ragnarok,2017,92%,"$314,971,245"
The Dark Tower,2017,16%,"$50,644,837"
Valerian and the City of a Thousand Planets,2017,48%,"$40,442,321"
The Meg,2018,45%,N/A
Deadpool 2,2018,83%,N/A
Ready Player One,2018,72%,N/A
Solo: A Star Wars Story,2018,70%,N/A
Get Out,2017,98%,"$175,428,355"
John Wick: Chapter 2,2017,89%,"$91,970,516"
Split,2016,76%,"$138,120,085"
Allied,2016,60%,"$40,069,087"
Arrival,2016,94%,"$100,501,349"
Doctor Strange,2016,89%,"$232,630,718"
Jack Reacher: Never Go Back,2016,37%,"$58,676,235"
The Magnificent Seven,2016,63%,"$93,381,044"
Suicide Squad,2016,27%,"$325,021,779"
Now You See Me 2,2016,34%,"$65,030,563"
Warcraft: The Beginning,2016,28%,"$44,765,679"
Captain America: Civil War,2016,91%,"$408,080,554"
Deadpool,2016,84%,"$328,674,489"
The Martian,2015,91%,"$202,313,768"
Maze Runner: The Scorch Trials,2015,46%,N/A
Hitman: Agent 47,2015,9%,N/A
The Man from U.N.C.L.E.,2015,66%,"$38,140,180"
Fantastic Four,2005,27%,"$154,485,963"
Mission: Impossible - Rogue Nation,2015,93%,"$154,979,949"
Ted 2,2015,46%,"$63,883,740"
Inside Out,2015,98%,"$264,317,903"
Mad Max: Fury Road,2015,97%,"$129,483,877"
Ex Machina,2014,92%,"$19,012,798"
Run All Night,2015,59%,N/A
Cinderella,2015,84%,"$183,327,144"
Chappie,2015,32%,N/A
American Sniper,2014,72%,"$274,377,268"
